similar,voice,ident,feeling,similar2,voice2
1,1,4.5,73,0.5,0.5
1,0,3.25,30,0.5,-0.5
0,1,3.5,91,-0.5,0.5
0,0,3,7,-0.5,-0.5
0,1,4.25,70,-0.5,0.5
1,1,2.25,4,0.5,0.5
0,0,2,20,-0.5,-0.5
1,1,3.25,39,0.5,0.5
0,0,4,25,-0.5,-0.5
1,1,1.75,100,0.5,0.5
0,0,1,17,-0.5,-0.5
1,0,3.75,51,0.5,-0.5
0,1,1.75,0,-0.5,0.5
0,1,2,1,-0.5,0.5
0,1,3.25,37,-0.5,0.5
1,1,2,40,0.5,0.5
0,0,4,100,-0.5,-0.5
0,0,5,91,-0.5,-0.5
1,0,4.25,100,0.5,-0.5
0,0,2.25,61,-0.5,-0.5
0,1,1.5,20,-0.5,0.5
1,1,3.25,58,0.5,0.5
1,1,2,0,0.5,0.5
1,0,2.25,51,0.5,-0.5
0,1,2.75,5,-0.5,0.5
1,0,2,52,0.5,-0.5
1,0,3.25,3,0.5,-0.5
1,1,4.25,87,0.5,0.5
1,1,2.75,52,0.5,0.5
1,1,3,90,0.5,0.5
1,0,4,36,0.5,-0.5
0,1,2,59,-0.5,0.5
1,1,3.5,71,0.5,0.5
0,1,3,50,-0.5,0.5
0,1,3.75,8,-0.5,0.5
0,1,1,50,-0.5,0.5
1,0,3.25,70,0.5,-0.5
1,0,3.75,58,0.5,-0.5
1,1,2.5,50,0.5,0.5
0,1,1,14,-0.5,0.5
1,1,1.75,67,0.5,0.5
1,1,2.5,49,0.5,0.5
1,0,3.5,82,0.5,-0.5
0,1,2.5,4,-0.5,0.5
1,1,3,41,0.5,0.5
1,0,2.25,30,0.5,-0.5
1,1,3.75,40,0.5,0.5
1,1,3,50,0.5,0.5
1,0,2,50,0.5,-0.5
1,1,4.5,83,0.5,0.5
1,1,2.75,4,0.5,0.5
1,0,3.25,38,0.5,-0.5
1,0,3.75,46,0.5,-0.5
1,0,3.5,69,0.5,-0.5
1,0,4.5,51,0.5,-0.5
1,0,2.25,40,0.5,-0.5
1,0,3.5,71,0.5,-0.5
1,0,5,51,0.5,-0.5
1,0,2,53,0.5,-0.5
0,1,2.75,62,-0.5,0.5
1,0,3.25,52,0.5,-0.5
1,1,3.25,51,0.5,0.5
0,0,3.75,41,-0.5,-0.5
1,0,1,65,0.5,-0.5
0,0,4.25,52,-0.5,-0.5
0,1,2,44,-0.5,0.5
1,1,2,51,0.5,0.5
0,0,3.25,51,-0.5,-0.5
0,1,1,100,-0.5,0.5
1,0,5,50,0.5,-0.5
1,1,1,32,0.5,0.5
1,0,2.75,30,0.5,-0.5
1,0,4,80,0.5,-0.5
